date,uri,hdUri,thumbUri,aspectRatio,aspectRatioThumb,blurHash,blurHashThumb
1995-07-28,https://res.cloudinary.com/deblkasq3/image/private/t_original/1995-07-28.jpg,https://apod.nasa.gov/apod/image/m82_moo.gif,https://res.cloudinary.com/deblkasq3/image/private/t_thumb/1995-07-28.jpg,1.14,1.78,K76Q-mt69[ofxaof0zbI={,"L87dF0s,5QX9jY%1ofI:0zWE^Psl"
1995-07-29,https://res.cloudinary.com/deblkasq3/image/private/t_original/1995-07-29.jpg,https://apod.nasa.gov/apod/image/dumbbell_moo.gif,https://res.cloudinary.com/deblkasq3/image/private/t_thumb/1995-07-29.jpg,1.13,1.78,K47T;3t70c%3oMV?9EWB?I,L77^lXs;0JRix]s:ROI:Mwn%x]Nu
1995-07-30,https://res.cloudinary.com/deblkasq3/image/private/t_original/1995-07-30.jpg,https://apod.nasa.gov/apod/image/satring1.gif,https://res.cloudinary.com/deblkasq3/image/private/t_thumb/1995-07-30.jpg,1.28,1.78,LGD8|4rv9ypH9tI.$yV@0NNfR-sC,LAELWtrE5BpbAC9[$LVs049zI@xG
1995-07-31,https://res.cloudinary.com/deblkasq3/image/private/t_original/1995-07-31.jpg,https://apod.nasa.gov/apod/image/satring2.gif,https://res.cloudinary.com/deblkasq3/image/private/t_thumb/1995-07-31.jpg,1.55,1.78,LBBK8]64snWW=c]kAYw_1w}D#nFc,"LDB,#364snaz=c]RAYw{Ar}DwKFc"
1995-08-01,https://res.cloudinary.com/deblkasq3/image/private/t_original/1995-08-01.jpg,https://apod.nasa.gov/apod/image/satring3.gif,https://res.cloudinary.com/deblkasq3/image/private/t_thumb/1995-08-01.jpg,2.49,1.78,LwF=8aof0LRjM{j[xbWVIUWBxuof,L$INjkt60LRjInoLxbWVD%WBxuof
1995-08-02,https://res.cloudinary.com/deblkasq3/image/private/t_original/1995-08-02.jpg,https://apod.nasa.gov/apod/image/jupring1.gif,https://res.cloudinary.com/deblkasq3/image/private/t_thumb/1995-08-02.jpg,1.52,1.78,"LSF3Mu}EWVoLae=f,@jZ1bAC-B$j","LTF{k?}ES2oMWB^6,@WV5,AC-B$j"
1995-08-03,https://res.cloudinary.com/deblkasq3/image/private/t_original/1995-08-03.jpg,https://apod.nasa.gov/apod/image/io1.gif,https://res.cloudinary.com/deblkasq3/image/private/t_thumb/1995-08-03.jpg,1,1.78,KrKH:X%0AYxZt5Wp10Rlay,LUNt59^$1yxFx@--X7M}9wWqNbM}
1995-08-04,https://res.cloudinary.com/deblkasq3/image/private/t_original/1995-08-04.jpg,https://apod.nasa.gov/apod/image/iovol1.gif,https://res.cloudinary.com/deblkasq3/image/private/t_thumb/1995-08-04.jpg,1.63,1.78,LAQG1rk7zryB.iR7IDN{_JVtIWx@,LAQ6W%obzryB??R7MzOF_JRQIWx@
1995-08-05,https://res.cloudinary.com/deblkasq3/image/private/t_original/1995-08-05.jpg,https://apod.nasa.gov/apod/image/tritongey1.gif,https://res.cloudinary.com/deblkasq3/image/private/t_thumb/1995-08-05.jpg,1.34,1.78,LOI|?#e-x]%N8wRjjrM_o#tRWBt7,"LKI|,iMx%gx]8wofV@RPogkCt7j["
1995-08-06,https://res.cloudinary.com/deblkasq3/image/private/t_original/1995-08-06.jpg,https://apod.nasa.gov/apod/image/columbia_sts1.gif,https://res.cloudinary.com/deblkasq3/image/private/t_thumb/1995-08-06.jpg,0.65,1.78,TOHxK59dOF1jxFt64?xWV@~TV[aL,LZJQ.O5Bkq~T0ixsbbIWxtsTe.oy
1995-08-07,https://res.cloudinary.com/deblkasq3/image/private/t_original/1995-08-07.jpg,https://apod.nasa.gov/apod/image/endeavour.gif,https://res.cloudinary.com/deblkasq3/image/private/t_thumb/1995-08-07.jpg,2.04,1.78,LB7dg?s:4oIoRkoLt6f70LWB?axt,LD7^uit64.IVRkoLs:j@0LWB-;%2
1995-08-08,https://res.cloudinary.com/deblkasq3/image/private/t_original/1995-08-08.jpg,https://apod.nasa.gov/apod/image/discovery.gif,https://res.cloudinary.com/deblkasq3/image/private/t_thumb/1995-08-08.jpg,1.31,1.78,LGCPw?0LRj%0ES-oj[WW9a%Lt6NG,LMDSp_0LRjxs4=-.oLbHjEWFt6Rj
1995-08-09,https://res.cloudinary.com/deblkasq3/image/private/t_original/1995-08-09.jpg,https://apod.nasa.gov/apod/image/challenger.gif,https://res.cloudinary.com/deblkasq3/image/private/t_thumb/1995-08-09.jpg,0.79,1.78,TVEy3.?H0f0LIo%1%g%Mi_i^M|bv,LSC=}B%20gEN9vof$fRjxuR*R*xa
1995-08-10,https://res.cloudinary.com/deblkasq3/image/private/t_original/1995-08-10.jpg,https://apod.nasa.gov/apod/image/hst.gif,https://res.cloudinary.com/deblkasq3/image/private/t_thumb/1995-08-10.jpg,1.02,1.78,KIDSL8%M0L9ZIUr;IpkDxu,LND+Vqxt0K9uInafxZW;bcRjIoxY
1995-08-11,https://res.cloudinary.com/deblkasq3/image/private/t_original/1995-08-11.jpg,https://apod.nasa.gov/apod/image/gro.gif,https://res.cloudinary.com/deblkasq3/image/private/t_thumb/1995-08-11.jpg,1.25,1.78,"LfD,D:S59YWBkDofWBj[4ms.%2oe",LUG9BgNy00RktTt8M{s;4mt7xuj[
1995-08-12,https://res.cloudinary.com/deblkasq3/image/private/t_original/1995-08-12.jpg,https://apod.nasa.gov/apod/image/atlantis_land.gif,https://res.cloudinary.com/deblkasq3/image/private/t_thumb/1995-08-12.jpg,1.76,1.78,LMJb26ozx]xuyZWBNGt7xBjZM_NG,LMJRdWt7x^xuyZWBNGt7xCjYM_NG
1995-08-13,https://res.cloudinary.com/deblkasq3/image/private/t_original/1995-08-13.jpg,https://apod.nasa.gov/apod/image/sun_skylab.gif,https://res.cloudinary.com/deblkasq3/image/private/t_thumb/1995-08-13.jpg,1.24,1.78,KTJYg[}=1fNdsUbG0$IqNH,LXL230}=BS%KS4sVS3bHIqR+NIIq
